state1,state2,Rating
irritable,irritable,2.300834503
irritable,anxious,1.709110502
irritable,calm,0.841096099
irritable,happy,0.76106932
irritable,sad,2.074923923
irritable,full-thought,1.366552371
irritable,sluggish,1.242390321
anxious,irritable,1.679472748
anxious,anxious,1.953235493
anxious,calm,0.90683455
anxious,happy,0.854104895
anxious,sad,1.869668418
anxious,full-thought,1.221811511
anxious,sluggish,1.146925418
calm,irritable,0.861054311
calm,anxious,0.892829383
calm,calm,1.011490795
calm,happy,1.005252431
calm,sad,0.759246565
calm,full-thought,0.904909789
calm,sluggish,0.994554986
happy,irritable,0.773860401
happy,anxious,0.852141435
happy,calm,0.999585845
happy,happy,1.068983897
happy,sad,0.728363669
happy,full-thought,0.879115037
happy,sluggish,0.949691663
sad,irritable,2.101870987
sad,anxious,1.869668418
sad,calm,0.768796837
sad,happy,0.658740672
sad,sad,3.249421564
sad,full-thought,1.365187963
sad,sluggish,1.222259487
full-thought,irritable,1.390526974
full-thought,anxious,1.243892442
full-thought,calm,0.932524407
full-thought,happy,0.838613802
full-thought,sad,1.74663754
full-thought,full-thought,1.937997655
full-thought,sluggish,1.15216349
sluggish,irritable,1.268454454
sluggish,anxious,1.146925418
sluggish,calm,0.994554986
sluggish,happy,0.922064269
sluggish,sad,1.295013028
sluggish,full-thought,1.191000461
sluggish,sluggish,1.562208274